plz,kreisid,kreisname
24937,1,Flensburg – Schleswig
24848,1,Flensburg – Schleswig
24399,1,Flensburg – Schleswig
24861,1,Flensburg – Schleswig
24401,1,Flensburg – Schleswig
24860,1,Flensburg – Schleswig
24863,1,Flensburg – Schleswig
24855,1,Flensburg – Schleswig
24857,1,Flensburg – Schleswig
24866,1,Flensburg – Schleswig
24867,1,Flensburg – Schleswig
24869,1,Flensburg – Schleswig
24870,1,Flensburg – Schleswig
24803,1,Flensburg – Schleswig
24857,1,Flensburg – Schleswig
24884,1,Flensburg – Schleswig
24376,1,Flensburg – Schleswig
24872,1,Flensburg – Schleswig
24873,1,Flensburg – Schleswig
24876,1,Flensburg – Schleswig
24850,1,Flensburg – Schleswig
24879,1,Flensburg – Schleswig
24878,1,Flensburg – Schleswig
24855,1,Flensburg – Schleswig
24376,1,Flensburg – Schleswig
24860,1,Flensburg – Schleswig
24848,1,Flensburg – Schleswig
24848,1,Flensburg – Schleswig
24848,1,Flensburg – Schleswig
24888,1,Flensburg – Schleswig
24878,1,Flensburg – Schleswig
24850,1,Flensburg – Schleswig
24799,1,Flensburg – Schleswig
24405,1,Flensburg – Schleswig
24879,1,Flensburg – Schleswig
24392,1,Flensburg – Schleswig
24392,1,Flensburg – Schleswig
24407,1,Flensburg – Schleswig
24407,1,Flensburg – Schleswig
24405,1,Flensburg – Schleswig
24392,1,Flensburg – Schleswig
24882,1,Flensburg – Schleswig
24392,1,Flensburg – Schleswig
24837,1,Flensburg – Schleswig
24891,1,Flensburg – Schleswig
24850,1,Flensburg – Schleswig
24884,1,Flensburg – Schleswig
24887,1,Flensburg – Schleswig
24888,1,Flensburg – Schleswig
24890,1,Flensburg – Schleswig
24891,1,Flensburg – Schleswig
24392,1,Flensburg – Schleswig
24890,1,Flensburg – Schleswig
24893,1,Flensburg – Schleswig
24817,1,Flensburg – Schleswig
24803,1,Flensburg – Schleswig
24894,1,Flensburg – Schleswig
24896,1,Flensburg – Schleswig
24860,1,Flensburg – Schleswig
24897,1,Flensburg – Schleswig
24392,1,Flensburg – Schleswig
24899,1,Flensburg – Schleswig
24894,1,Flensburg – Schleswig
24881,1,Flensburg – Schleswig
24943,1,Flensburg – Schleswig
24996,1,Flensburg – Schleswig
24975,1,Flensburg – Schleswig
24994,1,Flensburg – Schleswig
24989,1,Flensburg – Schleswig
24852,1,Flensburg – Schleswig
24402,1,Flensburg – Schleswig
24395,1,Flensburg – Schleswig
24960,1,Flensburg – Schleswig
24969,1,Flensburg – Schleswig
24991,1,Flensburg – Schleswig
24977,1,Flensburg – Schleswig
24955,1,Flensburg – Schleswig
24376,1,Flensburg – Schleswig
24980,1,Flensburg – Schleswig
24994,1,Flensburg – Schleswig
24975,1,Flensburg – Schleswig
24975,1,Flensburg – Schleswig
24992,1,Flensburg – Schleswig
24994,1,Flensburg – Schleswig
24963,1,Flensburg – Schleswig
24992,1,Flensburg – Schleswig
24395,1,Flensburg – Schleswig
24977,1,Flensburg – Schleswig
24852,1,Flensburg – Schleswig
24975,1,Flensburg – Schleswig
24404,1,Flensburg – Schleswig
24994,1,Flensburg – Schleswig
24980,1,Flensburg – Schleswig
24960,1,Flensburg – Schleswig
