kreisname,Nachname,Vorname,data-id
Köln I,Abdi,Sanae,861028
Stadt Hannover I,Ahmetovic,Adis,
Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I,Alabali-Radovan,Reem,860830
Main-Taunus,Altenkamp,Norbert Maria,857102
Mecklenburgische Seenplatte II - Landkreis Rostock III,Arlt,Johannes,860828
Ansbach,Auernhammer,Artur,857084
Regensburg,Aumer,Peter,857090
Mainz,Baldy,Daniel,861186
Bad Kissingen,Bär,Dorothee,857110
Zollernalb - Sigmaringen,Bareiß,Thomas,857138
Marburg,Bartol,Sören,857132
Duisburg I,Bas,Bärbel,857120
Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,Bayram,Canan,857156
Jena - Sömmerda - Weimarer Land I,Becker,Holger,
Lippe I,Berghahn,Jürgen,861088
Osnabrück-Land,Berghegger,André,
Segeberg - Stormarn-Mitte,Bergt,Bengt,861374
Mettmann II,Beyer,Peter,857108
Böblingen,Biadacz,Marc,857126
Ludwigsburg,Bilger,Steffen,857146
Lüchow-Dannenberg - Lüneburg,Blankenburg,Jakob,860872
Fulda,Brand,Michael,
Ingolstadt,Brandl,Reinhard,
Heidelberg,Brantner,Franziska,
Cloppenburg - Vechta,Breher,Silvia,857172
Nürnberg-Nord,Brehm,Sebastian,857198
Harz,Brehmer,Heike,857180
Gütersloh I,Brinkhaus,Ralph,857212
Oberbergischer Kreis,Brodesser,Carsten,
Mosel/Rhein-Hunsrück,Bröhr,Marlon,
Emmendingen - Lahr,Bury,Yannick,861566
Mannheim,Cademartori Dujisin,Isabel,
Unterems,Connemann,Gitta,857226
Berlin-Marzahn-Hellersdorf,Czaja,Mario,861524
Nordfriesland - Dithmarschen Nord,Damerow,Astrid,857268
Berlin-Neukölln,Demir,Hakan,861502
Halle,Diaby,Karamba,
Krefeld II - Wesel II,Dieren,Jan,861096
Waldeck,Dilcher,Esther,857244
Weilheim,Dobrindt,Alexander,857264
Reutlingen,Donth,Michael,857254
Gießen,Döring,Felix,860648
Hamburg-Mitte,Droßmann,Falko,861608
Augsburg-Land,Durz,Hansjörg,857260
Ennepe-Ruhr-Kreis II,Echeverria,Axel,860998
Roth,Edelhäußer,Ralph,861822
BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,Eichwede,Sonja,860474
Neu-Ulm,Engelhard,Alexander,861748
Schwandorf,Englhardt-Kopf,Martina,860320
Deggendorf,Erndl,Thomas,857286
Bielefeld - Gütersloh II,Esdar,Wiebke,
Stadt Hannover II,Fahimi,Yasmin,857316
Göppingen,Färber,Hermann,857322
Oberhavel - Havelland II,Fäscher,Ariane,860484
Mülheim - Essen I,Fiedler,Sebastian,861716
Schwalm-Eder,Franke,Edgar,
Schwarzwald-Baar,Frei,Thorsten,857308
Hof,Friedrich,Hans-Peter,
Nürnberg-Süd,Frieser,Michael,857294
Stadt Osnabrück,Gava,Manuel,860882
Coburg,Geissler,Jonas,
Berlin-Pankow,Gelbhaar,Stefan,857334
Bottrop - Recklinghausen III,Gerdes,Michael,857362
Pirmasens,Glöckner,Angelika,857370
Neckar-Zaber,Gramling,Fabian,861744
