plz,mdbid
24937,861322
24848,861322
24399,861322
24861,861322
24401,861322
24860,861322
24863,861322
24855,861322
24857,861322
24866,861322
24867,861322
24869,861322
24870,861322
24803,861322
24857,861322
24884,861322
24376,861322
24872,861322
24873,861322
24876,861322
24850,861322
24879,861322
24878,861322
24855,861322
24376,861322
24860,861322
24848,861322
24848,861322
24848,861322
24888,861322
24878,861322
24850,861322
24799,861322
24405,861322
24879,861322
24392,861322
24392,861322
24407,861322
24407,861322
24405,861322
24392,861322
24882,861322
24392,861322
24837,861322
24891,861322
24850,861322
24884,861322
24887,861322
24888,861322
24890,861322
24891,861322
24392,861322
24890,861322
24893,861322
24817,861322
24803,861322
24894,861322
24896,861322
24860,861322
24897,861322
24392,861322
24899,861322
24894,861322
24881,861322
24943,861322
24996,861322
24975,861322
24994,861322
24989,861322
24852,861322
24402,861322
24395,861322
24960,861322
24969,861322
24991,861322
24977,861322
24955,861322
24376,861322
24980,861322
24994,861322
24975,861322
24975,861322
24992,861322
24994,861322
24963,861322
24992,861322
24395,861322
24977,861322
24852,861322
24975,861322
24404,861322
24994,861322
24980,861322
24960,861322
24395,861322
24395,861322
24980,861322
24994,861322
24395,861322
24376,861322
24395,861322
24977,861322
24980,861322
24885,861322
24966,861322
24852,861322
24395,861322
24972,861322
24996,861322
24409,861322
24852,861322
24963,861322
24980,861322
24997,861322
24999,861322
24994,861322
24977,861322
24969,861322
24991,861322
24983,861322
24988,861322
24986,861322
24972,861322
24392,861322
25879,861322
24864,861322
25791,857268
25779,857268
25761,857268
25761,857268
25786,857268
25788,857268
25794,857268
25779,857268
25764,857268
25782,857268
25779,857268
25774,857268
25761,857268
25746,857268
25764,857268
25774,857268
25770,857268
25779,857268
25764,857268
25782,857268
25788,857268
25774,857268
25779,857268
25774,857268
25774,857268
25770,857268
25791,857268
25746,857268
25774,857268
25792,857268
25764,857268
25779,857268
25746,857268
25785,857268
25761,857268
25746,857268
25794,857268
25776,857268
25764,857268
25776,857268
25782,857268
25779,857268
25764,857268
25795,857268
25792,857268
25764,857268
25797,857268
25782,857268
25794,857268
25788,857268
25761,857268
25795,857268
25782,857268
25764,857268
25764,857268
25764,857268
25746,857268
25782,857268
25761,857268
25779,857268
25799,857268
25782,857268
25764,857268
25779,857268
25917,857268
25853,857268
25885,857268
25885,857268
25938,857268
25821,857268
25860,857268
25927,857268
25842,857268
25850,857268
25853,857268
25850,857268
25852,857268
25938,857268
25899,857268
25923,857268
25926,857268
25821,857268
25821,857268
25899,857268
25878,857268
25853,857268
25938,857268
25845,857268
25923,857268
25876,857268
25840,857268
25924,857268
25836,857268
25836,857268
25862,857268
25862,857268
25869,857268
25836,857268
25855,857268
25856,857268
25856,857268
25858,857268
25997,857268
25923,857268
25859,857268
25860,857268
25876,857268
25923,857268
25813,857268
25885,857268
25862,857268
25999,857268
25926,857268
25836,857268
25924,857268
25899,857268
25840,857268
25862,857268
25832,857268
25926,857268
25863,857268
25842,857268
25917,857268
25923,857268
25992,857268
25864,857268
25842,857268
25938,857268
25866,857268
25946,857268
25927,857268
25938,857268
25899,857268
25946,857268
25870,857268
25845,857268
25884,857268
25842,857268
25938,857268
25870,857268
25873,857268
25860,857268
25938,857268
25872,857268
25836,857268
25885,857268
25849,857268
25836,857268
25876,857268
25873,857268
25821,857268
25920,857268
25924,857268
25826,857268
25876,857268
25813,857268
25878,857268
25813,857268
25821,857268
25884,857268
25917,857268
25917,857268
25920,857268
25821,857268
25938,857268
25876,857268
25923,857268
25813,857268
25881,857268
25882,857268
25917,857268
25832,857268
25881,857268
25889,857268
25923,857268
25938,857268
25884,857268
25836,857268
25821,857268
25836,857268
25996,857268
25881,857268
25885,857268
25926,857268
25887,857268
25876,857268
25938,857268
25872,857268
25946,857268
25889,857268
25856,857268
25938,857268
25938,857268
25899,857268
25924,857268
25917,857268
25980,857268
25767,857398
25767,857398
25715,857398
25704,857398
25719,857398
25712,857398
25541,857398
25712,857398
25767,857398
25712,857398
25719,857398
25709,857398
25715,857398
25715,857398
25721,857398
25704,857398
25704,857398
25727,857398
25718,857398
25712,857398
25693,857398
25709,857398
25712,857398
25767,857398
25709,857398
25709,857398
25727,857398
25712,857398
25709,857398
25709,857398
25704,857398
25724,857398
25724,857398
25704,857398
25785,857398
25767,857398
25767,857398
25712,857398
25715,857398
25693,857398
25785,857398
25725,857398
25724,857398
25782,857398
25727,857398
25693,857398
25693,857398
25767,857398
25729,857398
25704,857398
25704,857398
25767,857398
24616,857398
24576,857398
24576,857398
24616,857398
25563,857398
24649,857398
24623,857398
24576,857398
24616,857398
24616,857398
24632,857398
24576,857398
24576,857398
24576,857398
24649,857398
25560,857398
25572,857398
25560,857398
25335,857398
25548,857398
25569,857398
25573,857398
25554,857398
25524,857398
25584,857398
25348,857398
25596,857398
25560,857398
25376,857398
25597,857398
25524,857398
25576,857398
24616,857398
25572,857398
25593,857398
25578,857398
25554,857398
25582,857398
25572,857398
25361,857398
25348,857398
25579,857398
25348,857398
25361,857398
25596,857398
25560,857398
25524,857398
25524,857398
25581,857398
25379,857398
25563,857398
25569,857398
25582,857398
25358,857398
25551,857398
25584,857398
25358,857398
25588,857398
25524,857398
25582,857398
25560,857398
25548,857398
25368,857398
25554,857398
25524,857398
25376,857398
25361,857398
25569,857398
25569,857398
25597,857398
25554,857398
25572,857398
25566,857398
25554,857398
25572,857398
25551,857398
25551,857398
25582,857398
25588,857398
25597,857398
25554,857398
25548,857398
25587,857398
25578,857398
25335,857398
25596,857398
25554,857398
25594,857398
25524,857398
25548,857398
25560,857398
25588,857398
25591,857398
25551,857398
25560,857398
25581,857398
25560,857398
25563,857398
25579,857398
25593,857398
25566,857398
25548,857398
25572,857398
24616,857398
25560,857398
25551,857398
25551,857398
25358,857398
25554,857398
25548,857398
25361,857398
25594,857398
25594,857398
25596,857398
25560,857398
25597,857398
25599,857398
24613,857398
24616,857398
25554,857398
25551,857398
25548,857398
25563,857398
25563,857398
25377,857398
25554,857398
24239,857882
24791,857882
24340,857882
24634,857882
24358,857882
24613,857882
24806,857882
24793,857882
24360,857882
25557,857882
25557,857882
25575,857882
24582,857882
24241,857882
24220,857882
24802,857882
24582,857882
24589,857882
24794,857882
25557,857882
24796,857882
24793,857882
24796,857882
24797,857882
24811,857882
24816,857882
24398,857882
24582,857882
24782,857882
24794,857882
24799,857882
24229,857882
24589,857882
24361,857882
24351,857882
24398,857882
24340,857882
24647,857882
24589,857882
24589,857882
24800,857882
24819,857882
24802,857882
24242,857882
24244,857882
24357,857882
24220,857882
24787,857882
24799,857882
24799,857882
24340,857882
24214,857882
24622,857882
25557,857882
24594,857882
24241,857882
24582,857882
24802,857882
24361,857882
24357,857882
24819,857882
24361,857882
24805,857882
24816,857882
25557,857882
24790,857882
24594,857882
24797,857882
24582,857882
24594,857882
24806,857882
24363,857882
24361,857882
24364,857882
24358,857882
24357,857882
24594,857882
24808,857882
24398,857882
24361,857882
24799,857882
24354,857882
24644,857882
24796,857882
24631,857882
24214,857882
24806,857882
24644,857882
24366,857882
25585,857882
24816,857882
24340,857882
24594,857882
24109,857882
24247,857882
24594,857882
24113,857882
24582,857882
24625,857882
24214,857882
24794,857882
24214,857882
24819,857882
24594,857882
24214,857882
24589,857882
24809,857882
25557,857882
24793,857882
24251,857882
24790,857882
24367,857882
24783,857882
25590,857882
24107,857882
24811,857882
24634,857882
24805,857882
24107,857882
24594,857882
24790,857882
24241,857882
24594,857882
24768,857882
24782,857882
24354,857882
24247,857882
24254,857882
24783,857882
24241,857882
24214,857882
24241,857882
24582,857882
24220,857882
24790,857882
24589,857882
24813,857882
24229,857882
25557,857882
24814,857882
24241,857882
24806,857882
24816,857882
25557,857882
24229,857882
25585,857882
24594,857882
24220,857882
25557,857882
24351,857882
24644,857882
24819,857882
24214,857882
24369,857882
24594,857882
24646,857882
24647,857882
24582,857882
24259,857882
24784,857882
24340,857882
24398,857882
24358,857882
24103,858042
24161,858042
24119,858042
24534,861384
24326,861384
24245,861384
24217,861384
24321,861384
24601,861384
24217,861384
24327,861384
24620,861384
24306,861384
24220,861384
24250,861384
24235,861384
24329,861384
24326,861384
24232,861384
24326,861384
24253,861384
24217,861384
24321,861384
24329,861384
24245,861384
24625,861384
24226,861384
24321,861384
24327,861384
24217,861384
24257,861384
24321,861384
24211,861384
24326,861384
24245,861384
23714,861384
24321,861384
24245,861384
24327,861384
24257,861384
24217,861384
24217,861384
24211,861384
24235,861384
24238,861384
24306,861384
24211,861384
24250,861384
24321,861384
24235,861384
24238,861384
24248,861384
24238,861384
24326,861384
24250,861384
24321,861384
24253,861384
24306,861384
24211,861384
24211,861384
24253,861384
24211,861384
24253,861384
24329,861384
24211,861384
24306,861384
24619,861384
24601,861384
24211,861384
24637,861384
24256,861384
24217,861384
24232,861384
24257,861384
24238,861384
24217,861384
24235,861384
24601,861384
24256,861384
24321,861384
24536,861384
24211,861384
24601,861384
24250,861384
24235,861384
24217,861384
24306,861384
24256,861384
24223,861384
24598,861384
24635,861384
24626,861384
24598,861384
24598,861384
24635,861384
25482,861352
25355,861352
25355,861352
25485,861352
25474,861352
25364,861352
25335,861352
25494,861352
25364,861352
25355,861352
25474,861352
25373,861352
25335,861352
25436,861352
25355,861352
25469,861352
25489,861352
25489,861352
25474,861352
25355,861352
25436,861352
25492,861352
27498,861352
25485,861352
25491,861352
25488,861352
25336,861352
25365,861352
25337,861352
25495,861352
25370,861352
25485,861352
25355,861352
25436,861352
25436,861352
25364,861352
25421,861352
25497,861352
25451,861352
25335,861352
25462,861352
22869,861352
25371,861352
25337,861352
25499,861352
25436,861352
25436,861352
22880,861352
25364,861352
25486,861374
23795,861374
23845,861374
23826,861374
23816,861374
23813,861374
24619,861374
0,861374
23845,861374
23824,861374
23845,861374
25479,861374
23795,861374
23826,861374
23815,861374
23719,861374
24610,861374
23816,861374
23795,861374
24628,861374
24640,861374
24558,861374
23795,861374
24641,861374
23845,861374
24568,861374
24568,861374
23863,861374
24629,861374
23795,861374
23795,861374
23827,861374
23829,861374
23816,861374
